Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Kerala,477820,385274,434759,388412,404900,81001,2835,729,81,648,142124,330,471641,472370,57592,137764,477139,2104,55749,452704,953,16138,2105,1084,85488,86572,42744,7384,96673,4132393,471766,484133,1679,1760,1453,485852,475964,2797,301060,425590,173
Alappuzha,23810,20021,23190,18904,20600,2847,53,10,3,7,9470,4,18557,18567,4532,5044,18947,11,2318,18620,932,713,251,242,4295,4537,2839,187,8189,253296,19341,20263,12,14,18,24382,22627,260,13920,21288,2
Ernakulam,37505,29714,34123,30034,29024,4187,171,19,3,16,7392,142,35697,35716,4502,15567,36120,124,4127,24055,939,1273,106,124,7049,7173,3836,688,19808,547374,36336,37418,0,3,7,42142,41808,313,30316,24596,14
Idukki,13559,11116,12688,13470,9918,4425,31,59,0,59,2301,3,10793,10852,1099,4254,12104,58,1502,11984,955,892,123,29,2135,2164,1845,105,2586,157506,13801,13719,0,2,0,14024,14013,21,17170,32032,3
KOZHIKKODE,47572,35715,43639,39336,42456,6060,78,18,7,11,24780,26,54968,54986,8816,12203,55158,509,7426,54086,937,1557,281,61,9815,9876,3599,530,4225,320682,57684,55493,17,22,27,46243,46040,174,28740,39288,21
Kannur,40360,33087,37499,29725,33224,3132,241,14,0,14,11138,2,43648,43662,5177,13539,43688,213,5044,41326,959,886,28,46,7516,7562,3361,154,2123,140558,42904,43615,78,105,105,38685,37539,167,8703,30792,11
Kasaragod,24437,20320,22875,19723,20739,5179,10,29,7,22,3838,0,20423,20452,988,3993,20561,55,1128,19747,914,913,15,52,1637,1689,3004,318,4426,70545,21388,21340,138,146,213,25380,25232,212,3167,3251,13
Kollam,33036,28473,31727,26196,29732,4163,136,24,6,18,10006,1,28436,28460,5027,10559,28626,35,2079,27810,964,676,227,59,8575,8634,3353,400,7934,446135,28828,29110,14,21,12,33873,33832,805,14730,18070,12
Kottayam,19454,15505,18604,17764,19457,837,80,5,2,3,9461,74,24566,24571,3975,7319,24631,193,3313,24271,959,916,173,132,4004,4136,3699,385,7384,323915,25574,25629,13,6,15,23558,23558,18,21891,49815,2
Malappuram,92305,74119,77003,75113,91909,18309,1105,210,16,194,15149,10,86320,86530,5049,21720,86867,370,9490,85964,962,3171,8,78,10447,10525,3640,1950,3460,328745,80202,90822,714,669,280,79899,78207,282,60766,45446,41
Palakkad,40999,32431,36359,35337,26514,8206,99,95,13,82,9001,7,36842,36937,3291,9438,37121,77,4133,33189,955,1020,115,21,8537,8558,4278,498,8616,400074,36217,37031,178,275,264,43308,41641,96,11038,18878,36
Pathanamthitta,12629,10104,12597,11810,12473,1821,25,9,1,8,3380,0,13614,13623,1737,6288,13821,30,1799,13443,968,564,298,23,3044,3067,1590,242,2641,104816,14072,14081,0,0,0,14733,14732,16,15607,18117,1
Thiruvananthapuram,39898,31843,36264,31911,34516,10459,280,21,6,15,22618,55,41756,41777,8505,9699,42862,281,6842,41906,967,1840,339,48,9423,9471,2593,613,12188,692279,42812,43030,96,75,105,45138,43551,210,34085,38236,2
Thrissur,38521,30620,35936,27879,21968,5711,322,16,2,14,8648,1,42836,42852,3695,15452,43190,86,4481,42917,965,851,83,60,7121,7181,3578,1075,9457,255549,39783,39407,408,406,391,41194,40708,67,35993,81664,7
Wayanad,13735,12206,12255,11210,12370,5665,204,200,15,185,4942,5,13185,13385,1199,2689,13443,62,2067,13386,943,866,58,109,1890,1999,1529,239,3636,90919,12824,13175,11,16,16,13293,12476,156,4934,4117,8
