Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Kerala,488095,403137,440375,388420,326231,89475,2995,597,58,539,122185,1796,446123,446720,50043,134645,452958,2010,55668,427907,958,15810,2066,906,76503,77409,42587,7129,100588,4673046,434360,453605,1584,1561,1062,466031,454799,3387,345097,471838,105.0
Alappuzha,24246,20456,22502,17870,13437,3619,56,15,3,12,7802,408,17038,17053,3668,5268,17205,13,2085,17140,938,745,206,240,3950,4190,2463,121,8333,280700,17225,17378,9,17,13,22317,20481,158,13876,21899,4.0
Ernakulam,38014,30831,33571,25392,25154,7109,214,25,6,19,6545,204,34000,34025,3657,14715,34623,121,5190,25669,968,1422,117,99,6569,6668,3550,800,20000,557344,33515,34147,26,48,23,39886,38825,240,35097,34219,15.0
Idukki,15186,12524,12971,13837,10226,5880,33,48,2,46,2022,9,9493,9541,1056,3826,12817,49,1395,12377,969,973,128,46,1696,1742,2411,96,3370,197849,12944,15464,0,2,0,12983,13037,21,21346,24567,2.0
KOZHIKKODE,49195,39284,47119,40628,43822,5816,7,9,3,6,20209,43,50350,50359,7363,12082,51153,512,5847,49950,969,958,291,20,7724,7744,3671,487,7669,491050,49640,50949,15,59,28,41894,41527,298,17395,17584,4.0
Kannur,40985,33193,37824,29859,23546,3635,201,17,1,16,9499,126,41463,41480,4574,13096,41484,206,4574,39137,949,833,17,59,6598,6657,3212,129,3556,170618,38098,39382,59,56,38,38786,37250,205,44285,53931,4.0
Kasaragod,24204,20397,22347,20043,24332,7969,113,21,8,13,3125,170,19086,19107,828,3991,19145,73,1632,18317,945,1173,12,51,1620,1671,2453,255,4250,151837,18160,19085,59,44,64,22832,22832,268,5088,6831,6.0
Kollam,33392,29292,31387,26141,27783,4178,120,21,6,15,8680,0,25529,25550,4367,9821,25662,50,2367,24450,964,648,119,32,7573,7605,3043,363,6885,262223,26318,25484,0,2,0,31405,31289,1157,18313,22195,13.0
Kottayam,20032,16237,18552,17609,11006,523,31,3,0,3,7945,63,22064,22067,3338,6944,22176,140,3054,21768,968,767,191,93,3353,3446,4287,270,10170,391612,23198,23308,1,3,5,21738,21738,39,22051,46261,
Malappuram,95597,77176,79609,78787,53155,16759,1200,208,11,197,12702,131,87562,87770,4133,22910,88034,387,12398,85397,955,2645,11,56,9141,9197,3291,2033,4541,422649,76636,87928,675,577,183,82213,79523,387,54622,41846,31.0
Palakkad,42372,34234,37431,38607,26492,8782,202,49,4,45,8147,8,35001,35050,2964,9143,35275,65,4426,30490,968,1160,189,20,8905,8925,4327,566,8116,444031,36227,36224,258,232,213,43847,42941,143,12775,20799,11.0
Pathanamthitta,12744,10429,12569,12870,12627,4414,38,14,3,11,3784,0,13656,13670,1754,6276,13864,39,2098,13848,989,742,326,4,2904,2908,1894,206,1424,83728,14116,14138,1,2,4,13313,13313,102,16982,21538,
Thiruvananthapuram,39522,33757,36088,31181,19454,11057,274,17,5,12,19490,602,40633,40650,8050,10437,39976,237,5074,38417,946,1934,351,63,8726,8789,3031,665,11757,835890,41366,42086,45,53,60,41498,40155,215,37742,48417,3.0
Thrissur,38620,32476,35687,25756,19042,4679,335,15,0,15,8098,23,40509,40524,3218,14149,41638,71,3911,41144,942,1129,43,56,6358,6414,3467,1013,8625,301101,36979,37605,360,385,339,40516,40150,38,43043,109250,3.0
Wayanad,13986,12851,12718,9840,16155,5055,171,135,6,129,4137,9,9739,9874,1073,1987,9906,47,1617,9803,981,681,65,67,1386,1453,1487,125,1892,82414,9938,10427,76,81,92,12803,11738,116,2482,2501,9.0
